"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Impressions,Reach,Shares,Replies,"Sticker taps",Navigation,"Profile visits",Follows
18014952317181150,17841401571070382,fabzy4l,f4L,,11,"03/07/2024 08:03",,"IG story",,Lifetime,121,121,0,0,,114,,
18048643720612431,17841401571070382,fabzy4l,f4L,,0,"03/07/2024 09:03",,"IG story",,Lifetime,114,114,0,0,,117,,
17993795969536070,17841401571070382,fabzy4l,f4L,,0,"03/07/2024 09:03",,"IG story",,Lifetime,109,109,0,0,,126,,
17991745646557524,17841401571070382,fabzy4l,f4L,,0,"03/07/2024 15:03",,"IG story",,Lifetime,104,103,0,0,,114,1,
17851331637153032,17841401571070382,fabzy4l,f4L,,0,"03/07/2024 20:03",,"IG story",,Lifetime,107,106,0,2,,114,1,
17994849767336544,17841401571070382,fabzy4l,f4L,,15,"03/08/2024 09:03",,"IG story",,Lifetime,109,108,0,0,,128,,
18094754095404820,17841401571070382,fabzy4l,f4L,,60,"03/08/2024 20:03",,"IG story",,Lifetime,86,85,0,0,,92,,
17994161183531039,17841401571070382,fabzy4l,f4L,,15,"03/09/2024 08:03",,"IG story",,Lifetime,73,72,0,0,,73,,
18020595212094887,17841401571070382,fabzy4l,f4L,,15,"03/09/2024 09:03",,"IG story",,Lifetime,74,73,0,0,,70,,
18019580437918808,17841401571070382,fabzy4l,f4L,,0,"03/09/2024 12:03",,"IG story",,Lifetime,106,105,0,1,,117,,
17862558057080876,17841401571070382,fabzy4l,f4L,,0,"03/09/2024 20:03",,"IG story",,Lifetime,129,129,0,0,,142,1,
17869113399030351,17841401571070382,fabzy4l,f4L,,0,"03/10/2024 08:03",,"IG story",,Lifetime,181,181,0,1,8,200,,
17848304004145452,17841401571070382,fabzy4l,f4L,,0,"03/10/2024 09:03",,"IG story",,Lifetime,175,174,0,2,,217,1,
18057547123550744,17841401571070382,fabzy4l,f4L,,0,"03/10/2024 09:03",,"IG story",,Lifetime,164,164,0,1,,199,,
18255584920235697,17841401571070382,fabzy4l,f4L,,0,"03/11/2024 11:03",,"IG story",,Lifetime,365,347,0,7,,408,2,
18176962102289788,17841401571070382,fabzy4l,f4L,,0,"03/12/2024 08:03",,"IG story",,Lifetime,301,301,0,13,,352,2,
18035723542795021,17841401571070382,fabzy4l,f4L,,8,"03/12/2024 09:03",,"IG story",,Lifetime,276,276,0,3,,338,,
18001239296403841,17841401571070382,fabzy4l,f4L,,0,"03/12/2024 09:03",,"IG story",,Lifetime,264,258,0,1,,347,3,
17880398175031807,17841401571070382,fabzy4l,f4L,,9,"03/12/2024 10:03",,"IG story",,Lifetime,252,248,0,9,2,317,2,
18257922610212311,17841401571070382,fabzy4l,f4L,,6,"03/12/2024 10:03",,"IG story",,Lifetime,250,246,0,8,5,274,1,
18035327371828305,17841401571070382,fabzy4l,f4L,,0,"03/12/2024 11:03",,"IG story",,Lifetime,238,236,0,3,2,326,1,
18426229312020226,17841401571070382,fabzy4l,f4L,,0,"03/12/2024 11:03",,"IG story",,Lifetime,235,234,0,3,5,302,1,
17983028765497389,17841401571070382,fabzy4l,f4L,,0,"03/12/2024 11:03",,"IG story",,Lifetime,227,225,0,1,,273,2,
17907248663927828,17841401571070382,fabzy4l,f4L,,0,"03/12/2024 13:03",,"IG story",,Lifetime,166,166,0,0,,181,1,
18112071847327817,17841401571070382,fabzy4l,f4L,,15,"03/14/2024 08:03",,"IG story",,Lifetime,128,127,0,1,,138,,
18090667264412333,17841401571070382,fabzy4l,f4L,,22,"03/14/2024 09:03",,"IG story",,Lifetime,115,114,2,0,,136,,
17883022523963615,17841401571070382,fabzy4l,f4L,,0,"03/14/2024 10:03",,"IG story",,Lifetime,106,105,0,0,,124,,
18002755781208648,17841401571070382,fabzy4l,f4L,,15,"03/14/2024 13:03",,"IG story",,Lifetime,110,108,0,3,,119,,
18006079649159885,17841401571070382,fabzy4l,f4L,,0,"03/14/2024 18:03",,"IG story",,Lifetime,121,118,0,0,,135,,
18422623573008963,17841401571070382,fabzy4l,f4L,,10,"03/16/2024 13:03",,"IG story",,Lifetime,109,107,0,1,,108,,
18344885332103359,17841401571070382,fabzy4l,f4L,,15,"03/16/2024 15:03",,"IG story",,Lifetime,99,98,0,0,,106,1,
18096861430401894,17841401571070382,fabzy4l,f4L,,0,"03/18/2024 20:03",,"IG story",,Lifetime,225,224,0,0,11,237,1,
17901618350956149,17841401571070382,fabzy4l,f4L,,10,"03/19/2024 08:03",,"IG story",,Lifetime,96,95,0,0,,94,,
18323805019187387,17841401571070382,fabzy4l,f4L,,0,"03/19/2024 08:03",,"IG story",,Lifetime,91,90,0,0,,104,,
17958871148725313,17841401571070382,fabzy4l,f4L,,15,"03/19/2024 18:03",,"IG story",,Lifetime,105,104,0,0,,109,,
18003708644219534,17841401571070382,fabzy4l,f4L,,41,"03/20/2024 08:03",,"IG story",,Lifetime,113,112,0,0,,124,2,
18018319502137225,17841401571070382,fabzy4l,f4L,,0,"03/20/2024 09:03",,"IG story",,Lifetime,108,108,0,0,,118,1,
18179561161289182,17841401571070382,fabzy4l,f4L,,0,"03/20/2024 11:03",,"IG story",,Lifetime,106,106,1,1,,112,,
17929608020752320,17841401571070382,fabzy4l,f4L,,8,"03/20/2024 15:03",,"IG story",,Lifetime,131,128,0,3,,127,,
17997961721576219,17841401571070382,fabzy4l,f4L,,0,"03/20/2024 20:03",,"IG story",,Lifetime,131,129,0,3,,159,,
18084774526429907,17841401571070382,fabzy4l,f4L,,11,"03/21/2024 12:03",,"IG story",,Lifetime,134,133,0,0,,136,,
17947542971671227,17841401571070382,fabzy4l,f4L,,0,"03/22/2024 11:03",,"IG story",,Lifetime,269,269,0,0,,302,,
18343779331101755,17841401571070382,fabzy4l,f4L,,0,"03/23/2024 09:03",,"IG story",,Lifetime,136,133,0,1,,138,5,1
18263006695229882,17841401571070382,fabzy4l,f4L,,0,"03/23/2024 12:03",,"IG story",,Lifetime,127,125,0,0,,125,2,
18021583064089799,17841401571070382,fabzy4l,f4L,,0,"03/23/2024 20:03",,"IG story",,Lifetime,114,114,0,0,,115,,
17929715897837120,17841401571070382,fabzy4l,f4L,,0,"03/23/2024 20:03",,"IG story",,Lifetime,110,108,0,1,,117,,
18018971444131443,17841401571070382,fabzy4l,f4L,,0,"03/23/2024 20:03",,"IG story",,Lifetime,107,105,0,0,,111,1,
18031129564757024,17841401571070382,fabzy4l,f4L,,0,"03/24/2024 08:03",,"IG story",,Lifetime,103,101,0,0,,104,,
17903144954953762,17841401571070382,fabzy4l,f4L,,0,"03/24/2024 10:03",,"IG story",,Lifetime,95,94,0,0,,102,1,
18388790806077832,17841401571070382,fabzy4l,f4L,,0,"03/25/2024 08:03",,"IG story",,Lifetime,225,222,0,0,,227,,
18004090013234000,17841401571070382,fabzy4l,f4L,,15,"03/26/2024 08:03",,"IG story",,Lifetime,137,135,0,0,,134,,
18028508524815836,17841401571070382,fabzy4l,f4L,,0,"03/26/2024 16:03",,"IG story",,Lifetime,152,152,0,1,,160,,
18316494253131660,17841401571070382,fabzy4l,f4L,,0,"03/27/2024 12:03",,"IG story",,Lifetime,127,125,0,1,,124,1,
18021740830919361,17841401571070382,fabzy4l,f4L,,0,"03/27/2024 13:03",,"IG story",,Lifetime,120,119,0,0,,121,,
18119698570317397,17841401571070382,fabzy4l,f4L,,0,"03/27/2024 14:03",,"IG story",,Lifetime,116,113,1,2,,129,,
18427630222043403,17841401571070382,fabzy4l,f4L,,15,"03/27/2024 18:03",,"IG story",,Lifetime,146,140,0,3,,167,,
18050500837552677,17841401571070382,fabzy4l,f4L,,6,"03/28/2024 09:03",,"IG story",,Lifetime,169,169,0,1,,176,,
17913003953823444,17841401571070382,fabzy4l,f4L,,15,"03/28/2024 10:03",,"IG story",,Lifetime,166,166,0,1,,188,,
18004849613203053,17841401571070382,fabzy4l,f4L,,0,"03/28/2024 11:03",,"IG story",,Lifetime,156,155,0,1,,160,,
18231190126264591,17841401571070382,fabzy4l,f4L,,0,"03/28/2024 16:03",,"IG story",,Lifetime,197,197,0,0,2,207,1,
18038237953676332,17841401571070382,fabzy4l,f4L,,0,"03/29/2024 15:03",,"IG story",,Lifetime,165,164,0,2,,151,,
18021281599931006,17841401571070382,fabzy4l,f4L,,0,"03/29/2024 15:03",,"IG story",,Lifetime,139,138,0,0,,153,,
17894210141914551,17841401571070382,fabzy4l,f4L,,10,"03/29/2024 20:03",,"IG story",,Lifetime,101,101,0,0,,99,1,
18047635822717668,17841401571070382,fabzy4l,f4L,,0,"03/30/2024 20:03",,"IG story",,Lifetime,196,195,0,1,2,219,,
17990537456625401,17841401571070382,fabzy4l,f4L,,0,"03/30/2024 20:03",,"IG story",,Lifetime,182,181,0,0,11,204,,
18026493328825645,17841401571070382,fabzy4l,f4L,,0,"03/01/2024 09:03",,"IG story",,Lifetime,152,150,0,1,,155,,
