group,percent
0.5% ZnO Live Cells,73.0335
1% ZnO Live Cells,88.4416
Alginate Live Cells,89.8649
Control Live Cells,90.0585
1% TiO2 Live Cells,93.3962
0.5% ZnO Dead Cells,26.9663
1% ZnO Dead Cells,11.5584
Alginate Dead Cells,10.1351
Control Dead Cells,9.9415
1% TiO2 Dead Cells,6.6038
