Program,xPONENT,,Unknown,,,
"83(1,C11)",219,90.5,54,8.5,42.5,261
"84(1,D11)",170,49,40,9,51.5,239
"85(1,E11)",180,49,55,8,47,237
"86(1,F11)",296,28.5,46,9,37,240
,,,,,,
DataType:,Net MFI,,,,,
Location,Sample,CNTF,GDNF,NGF,BDNF,Total Events
"1(1,A1)",Standard1,10087,3915.75,15898.25,6265.75,235
"2(1,B1)",Standard2,5405,3786.75,15281.75,7993.75,246
"3(1,C1)",Standard3,1868.5,2553.75,5729.75,3029.75,236
"4(1,D1)",Standard4,484,1833.75,2288.25,623.25,276
"5(1,E1)",Standard5,144,566.75,780.25,149.75,256
"6(1,F1)",Standard6,44,129.75,215.25,37.75,230
"7(1,G1)",Standard7,21.5,59.25,96.25,28.25,227
"8(1,H1)",Background0,3.5,-0.75,-0.25,-1.25,215
"9(1,A2)",Standard1,9164,3292.75,15785.25,5593.25,252
"10(1,B2)",Standard2,5516,3458.25,15019.25,7390.75,244
"11(1,C2)",Standard3,1984,2947.75,6051.25,3407.75,237
"12(1,D2)",Standard4,604,2033.75,2388.75,685.75,228
"13(1,E2)",Standard5,142.5,571.75,701.25,150.75,249
"14(1,F2)",Standard6,52.5,141.75,235.25,61.25,219
"15(1,G2)",Standard7,14,37.75,73.25,16.75,217
"16(1,H2)",Background0,-3.5,0.75,0.25,1.25,266
"17(1,A3)",312,32.5,-1.25,2.25,91.75,258
"18(1,B3)",309,18,-6.25,2.25,50.75,230
"19(1,C3)",308,-5.5,-6.25,4.75,13.25,224
"20(1,D3)",301,49.5,-11.25,-3.75,11.75,247
"21(1,E3)",298,57,-4.25,0.25,11.75,270
"22(1,F3)",287,20,-18.25,0.25,-3.25,238
"23(1,G3)",286,11.5,-11.25,1.25,24.25,222
"24(1,H3)",284,4,-12.25,-1.75,0.75,384
"25(1,A4)",282,18,-16.25,-1.75,6.75,266
"26(1,B4)",281,19.5,-8.25,-0.75,22.75,349
"27(1,C4)",280,18,-13.25,-1.75,3.75,630
"28(1,D4)",264,106,-6.25,-3.25,29.75,415
"29(1,E4)",261,29.5,-8.25,-1.75,0.25,236
"30(1,F4)",247,9,-2.75,-2.75,17.75,242
"31(1,G4)",210,-11,-10.25,1.25,5.25,247
"32(1,H4)",207,13.5,-4.75,0.75,36.25,224
"33(1,A5)",194,14.5,-1.75,-1.75,1.25,248
"34(1,B5)",193,59,-17.25,0.25,-5.25,441
"35(1,C5)",192,32,-17.25,-0.75,-1.25,220
"36(1,D5)",167,-11.5,-15.25,-1.75,-4.25,217
"37(1,E5)",162,18.5,-13.25,-2.75,1.75,243
"38(1,F5)",153,44,-22.25,-0.75,-6.25,316
