,statistic,pvalue
0,0.8726453185081482,9.202949877362698e-05
1,0.9301935434341431,0.006931501906365156
2,0.5892353653907776,2.3123682135750556e-10
3,,1.0
4,,1.0
5,,1.0
6,,1.0
7,,1.0
8,,1.0
