Storage Modulus,Loss Modulus,Sample,Angular Freq,Complex Visc,,,
5.66E+03,1.09E+03,SDS 3,0.792,7.27E+03,,,
5.42E+03,1.08E+03,SDS 3,0.5,1.11E+04,,,
1.30E+04,1.78E+03,CTAB 1,50,2.62E+02,,,
1.21E+04,1.71E+03,CTAB 1,31.5,3.87E+02,,,
1.14E+04,1.66E+03,CTAB 1,19.9,5.81E+02,,,
1.09E+04,1.61E+03,CTAB 1,12.6,8.77E+02,,,
1.04E+04,1.57E+03,CTAB 1,7.92,1.33E+03,,,
1.01E+04,1.51E+03,CTAB 1,5,2.04E+03,,,
9.65E+03,1.48E+03,CTAB 1,3.15,3.10E+03,,,
9.24E+03,1.45E+03,CTAB 1,1.99,4.70E+03,,,
8.84E+03,1.41E+03,CTAB 1,1.26,7.12E+03,,,
8.44E+03,1.39E+03,CTAB 1,0.792,1.08E+04,,,
8.04E+03,1.35E+03,CTAB 1,0.5,1.63E+04,,,
1.04E+04,1.57E+03,CTAB 2,50,2.10E+02,,,
9.84E+03,1.39E+03,CTAB 2,31.5,3.15E+02,,,
9.38E+03,1.34E+03,CTAB 2,19.9,4.76E+02,,,
8.96E+03,1.28E+03,CTAB 2,12.6,7.21E+02,,,
8.62E+03,1.23E+03,CTAB 2,7.92,1.10E+03,,,
8.30E+03,1.20E+03,CTAB 2,5,1.68E+03,,,
7.99E+03,1.17E+03,CTAB 2,3.15,2.56E+03,,,
7.65E+03,1.15E+03,CTAB 2,1.99,3.89E+03,,,
7.35E+03,1.13E+03,CTAB 2,1.26,5.92E+03,,,
7.04E+03,1.11E+03,CTAB 2,0.792,8.99E+03,,,
6.79E+03,1.09E+03,CTAB 2,0.5,1.38E+04,,,
1.16E+04,1.77E+03,CTAB 3,50,2.36E+02,,,
1.13E+04,1.68E+03,CTAB 3,31.5,3.61E+02,,,
1.08E+04,1.57E+03,CTAB 3,19.9,5.50E+02,,,
1.04E+04,1.54E+03,CTAB 3,12.6,8.35E+02,,,
1.00E+04,1.46E+03,CTAB 3,7.92,1.28E+03,,,
9.68E+03,1.42E+03,CTAB 3,5,1.96E+03,,,
9.27E+03,1.37E+03,CTAB 3,3.15,2.97E+03,,,
8.87E+03,1.35E+03,CTAB 3,1.99,4.51E+03,,,
8.49E+03,1.32E+03,CTAB 3,1.26,6.84E+03,,,
8.10E+03,1.29E+03,CTAB 3,0.792,1.04E+04,,,
7.73E+03,1.26E+03,CTAB 3,0.5,1.57E+04,,,
,,,,,,,
