Region,Cases,Deaths,Recovered,Active,Longitude,Latitude,Date
Kazakhstan,84648.00,585.00,54404.00,29659.00,66.923684,48.019573,
Kenya,17975.00,285.00,7833.00,9857.00,37.906193,-0.023559,
Kosovo,7413.00,185.00,4027.00,3201.00,20.902977,42.602636,
Kuwait,64379.00,438.00,55057.00,8884.00,47.481766,29.31166,
Kyrgyzstan,33296.00,1301.00,21205.00,10790.00,74.766098,41.20438,
Laos,20.00,0.00,19.00,1.00,102.495496,19.85627,
Latvia,1219.00,31.00,1045.00,143.00,24.603189,56.879635,
Lebanon,3882.00,51.00,1709.00,2122.00,35.862285,33.854721,
Lesotho,505.00,12.00,128.00,365.00,28.233608,-29.609988,
Liberia,1167.00,72.00,646.00,449.00,-9.429499,6.428055,
Libya,2827.00,64.00,577.00,2186.00,17.228331,26.3351,
Liechtenstein,86.00,1.00,81.00,4.00,9.555373,47.166,
Lithuania,2019.00,80.00,1620.00,319.00,23.881275,55.169438,
Luxembourg,6321.00,112.00,4825.00,1384.00,6.129583,49.815273,
Madagascar,9690.00,91.00,6260.00,3339.00,46.869107,-18.766947,
Malawi,3664.00,99.00,1645.00,1920.00,34.301525,-13.254308,
Malaysia,8904.00,124.00,8601.00,179.00,101.975766,4.210484,
Maldives,3369.00,15.00,2547.00,807.00,73.22068,3.202778,
Mali,2513.00,124.00,1913.00,476.00,-3.996166,17.570692,
Malta,701.00,9.00,665.00,27.00,14.375416,35.937496,
Mauritania,6208.00,156.00,4653.00,1399.00,-10.940835,21.00789,
Mauritius,344.00,10.00,332.00,2.00,57.552152,-20.348404,
Mexico,395489.00,44022.00,303810.00,47657.00,-102.55278,23.634501,
Moldova,23154.00,748.00,16154.00,6252.00,28.369885,47.411631,
Monaco,116.00,4.00,104.00,8.00,7.412841,43.750298,
Mongolia,289.00,0.00,222.00,67.00,103.846656,46.862496,
Montenegro,2893.00,45.00,809.00,2039.00,19.37439,42.708678,
Morocco,20887.00,316.00,16553.00,4018.00,-7.09262,31.791702,
Mozambique,1701.00,11.00,0.00,1690.00,35.529562,-18.665695,
