sample,length,width,height
s1,23.56,7.88,2.82
s1,23.67,7.3,2.7
s1,23.27,8.26,2.27
s2,23.19,8.19,2.82
s2,22.93,7.09,3.08
s2,23.25,8.15,2.19
s3,22,7.73,2.17
s3,22.05,7.09,2
s3,22,7.2,2.04
s4,23.1,7.55,2.02
s4,22.72,7.5,2.03
s4,21.93,7.48,2.25
s5,21.47,6.75,1.81
s5,21.48,7.22,1.77
s5,21.36,6.8,1.84
