Person,Hair width change - Control,Hair width change - Test,Hair growth change - Control,Hair growth change - Test
Z,-3,-1,-0.02,-0.02
F,0,-8,-0.01,-0.03
M,10,9,-0.02,0.02
S,10,-3,0.01,-0.03
V,-11,-35,0.06,0.04
