mm,N/mm_
0.182275384,-0.003366535
0.182910153,0.009911162
0.183593744,-0.002219498
0.184277334,0.005854754
0.184960925,0.013648523
0.185644531,-0.000309224
0.186328121,-0.010214929
0.187060548,0.00558191
0.187744139,0.009752912
0.188378894,0.002798413
0.189062499,-0.001150676
0.18974609,0.006745318
0.190380859,0.005770112
0.19106445,0.007073459
0.191748055,0.008144585
0.192382809,-0.007305801
0.1930664,-0.012149455
0.193701184,-0.006956075
0.194335938,0.002351554
0.194970693,-0.003426804
0.195654298,0.005247221
0.196337889,-0.001993704
0.196923822,0.000217305
0.197607427,0.009212074
0.198242182,-0.001128848
0.198925773,0.004621013
0.199609363,0.001338635
0.200292969,-0.000139454
0.200976559,0.007497399
0.201611329,0.011419324
0.202294919,0.005042527
0.202929688,0.026769182
0.203662115,-0.018738464
0.20429687,0.001952232
0.204980461,0.002957996
0.205712888,0.002127579
0.206347657,-0.003221503
0.206982426,0.005371153
0.207714838,0.007771698
0.208349622,-0.006334354
0.209082034,0.000129025
0.209716804,0.013231495
0.210449216,0.018358544
0.211083985,0.012753109
0.211718754,0.005070054
0.212353509,0.002010681
0.213037099,0.008921768
0.213671883,0.00313577
0.214355474,0.014634036
0.215039065,-0.009723688
0.215624998,-0.012818227
0.216259767,-0.024609469
0.216943357,0.001489124
0.217578126,-0.005553049
0.218261717,0.013180201
0.218896472,0.003644473
0.219531255,0.016390668
0.22016601,0.010328674
0.220849601,0.001740626
0.221484384,-0.004419351
0.222167975,0.032621875
0.222851566,0.006789701
0.223535157,-0.002671934
0.224169926,0.024656154
0.224853517,-0.01200891
0.225537107,0.000740318
0.226220698,0.002424192
0.226953125,-0.00887884
0.22763673,0.016112974
0.228320321,0.008179509
0.229003912,0.015185182
0.229687503,0.035360385
0.230371093,0.006522435
0.231005863,0.009323152
0.23173829,-0.004483742
0.23242188,0.006741074
0.233154293,0.011224452
0.233837884,-0.001481242
0.234472667,0.008095837
0.235107422,0.049118165
0.235742176,-0.005703296
0.236425782,0.009591267
0.237109372,0.001763181
0.237744141,0.002824485
0.238427732,0.005391283
0.239062501,-0.000610565
0.239697256,-0.003140741
0.24033204,0.007527957
0.24101563,0.018250981
0.241699221,-0.008782556
0.242333976,-0.002951448
0.242968759,0.010540886
0.24365235,0.00237229
0.244287105,0.026667805
0.244970695,-0.021463269
0.245654286,0.022536943
0.246337877,0.011296484
0.247021468,0.009194733
0.247656251,-0.003151292
0.248339842,0.015843526
0.249023433,-0.001632701
0.249707024,-0.000540959
0.250390614,0.012075121
0.251074234,0.002929742
0.251708989,0.00612675
0.25239258,0.012214938
0.253027363,0.023420837
0.253710925,0.023127377
0.254443352,0.004568991
0.255078136,0.007211579
0.255761726,-0.002132673
0.256445317,0.009825428
0.257080072,0.011281203
0.257714826,0.026108172
0.258398446,0.002099446
0.259033201,0.003697708
0.25971682,0.005218482
0.260351575,-0.002873354
0.26098633,-0.001178081
0.261621084,0.024183709
0.262255839,0.005290997
0.262939458,-0.013345969
0.263574213,-0.009464424
0.264257833,0.001543814
0.264892587,0.000948771
0.265576178,0.009606667
0.266210933,-0.009660387
0.266894524,-0.000261567
0.267578114,-0.004719479
0.268261734,0.008933772
0.268896489,-0.008151377
0.269580079,-0.001666048
0.27026367,-0.004801818
0.270898425,-0.008523536
0.271630852,0.002608998
0.272314472,0.017015422
0.272998033,0.005284571
0.273681653,-0.005709601
0.274365244,-0.003540913
0.274999999,-0.017727727
0.275683589,-0.003334885
0.27636718,0.006170162
0.277001935,0.003789868
0.277685554,-2.97097E-05
0.278417981,0.005276931
0.279052736,0.012307341
0.279687491,-0.007881927
0.28037111,-0.010989807
0.281005865,-0.017828377
0.281689456,0.010924567
0.28232421,-0.012014852
0.282958994,-0.014874988
0.283642585,-0.014313535
0.284277339,-0.013722372
0.284912123,0.008418642
0.285546877,0.010770197
0.286230468,0.017938606
0.286865223,0.007715553
0.287500006,-0.007796921
0.288183597,0.014098412
0.288818352,-0.012114531
0.289501972,0.039701033
0.290185533,-0.018568331
0.290869153,0.014222951
0.291552715,0.01901919
0.292236335,-0.010719145
0.292871089,0.002502528
0.29355468,-0.003631255
0.294238271,0.0141451
0.294921861,-0.015495012
0.295605481,0.024284964
0.296337908,0.009327396
0.296972663,-0.015324879
0.297656225,0.014313293
0.298291037,0.001037172
0.299023435,-0.002598327
0.299658219,-0.00425043
0.300341781,-0.012626872
0.3010254,0.004610463
0.301660155,0.01223434
0.302294909,0.005260924
0.302929693,-0.010167514
0.303613284,0.002606694
0.304248038,-0.004987231
0.304931629,-0.001117449
0.305566413,0.013617479
0.306201167,-0.001443771
0.306835951,0.02356975
0.307519513,0.003876087
0.308154296,0.009886787
0.308837887,-0.020203335
0.309472642,0.015997045
0.310156262,0.015526541
0.310791016,-0.002590809
0.311474607,0.006116928
0.312158198,0.008522809
0.312841788,0.016517632
0.313525379,0.014566128
0.314160163,0.01513801
0.31489259,0.003795447
0.315576151,-0.006285727
0.316210935,0.012790821
0.316943333,0.010671124
0.317626953,0.001501008
0.318310573,0.020842033
0.319042971,0.006156096
0.319677754,0.022810878
0.320361316,-0.014722317
0.321044936,0.005968258
0.321728527,-0.017266924
0.322363281,-0.011853571
