Column Name,Test Statistic,P-value,Normality
CERKL,0.8726453185081482,9.202949877362698e-05,Not Normally Distributed
CHRNA10,0.9521903991699219,0.048907794058322906,Not Normally Distributed
FA2H,0.9301935434341431,0.006931501906365156,Not Normally Distributed
SMYD1,0.5892353653907776,2.3123682135750556e-10,Not Normally Distributed
