Wavelength,Temperature,Control 1A,25 ppm 1A,20 ppm 1A,Control 2A,25 ppm 2A,20 ppm 2A,Control 3A,25 ppm 3A,20 ppm 3A,Control 1B,25 ppm 1B,20 ppm 1B,Control 2B,25 ppm 2B,20 ppm 2B,Control 3B,25 ppm 3B,20 ppm 3B,Control 1C,25 ppm 1C,20 ppm 1C,Control 2C,25 ppm 2C,20 ppm 2C,Control 3C,25 ppm 3C,20 ppm 3C,
410,24.1,-0.0996,-0.4255,-0.157,-0.079,0.1308,-0.0424,0.1786,-0.3017,-0.2005,-0.0985667,-0.4318667,-0.1599667,-0.077066667,0.130633333,-0.039366667,0.175633333,-0.296466667,-0.193566667,-0.096966667,-0.432366667,-0.160866667,-0.079466667,0.133133333,-0.038866667,0.176433333,-0.297066667,-0.198466667,
420,24.1,-0.089566667,-0.409766667,-0.154266667,-0.080166667,0.126033333,-0.035166667,0.169733333,-0.290266667,-0.184066667,-0.0887667,-0.4158667,-0.1569667,-0.077766667,0.125933333,-0.032166667,0.166533333,-0.285766667,-0.180466667,-0.086533333,-0.417733333,-0.158333333,-0.080533333,0.127366667,-0.031333333,0.167066667,-0.286233333,-0.183733333,
430,24.1,-0.0757,-0.3886,-0.1486,-0.0831,0.1224,-0.0244,0.1588,-0.2738,-0.1649,-0.0754333,-0.3943333,-0.1501333,-0.080533333,0.122366667,-0.021233333,0.155966667,-0.269333333,-0.161433333,-0.073333333,-0.395833333,-0.151633333,-0.083033333,0.125166667,-0.020633333,0.156366667,-0.269033333,-0.165033333,
440,24.1,-0.058833333,-0.362033333,-0.140533333,-0.085733333,0.117766667,-0.010033333,0.144566667,-0.252833333,-0.137733333,-0.0577333,-0.3678333,-0.1421333,-0.083733333,0.118866667,-0.006533333,0.141466667,-0.248233333,-0.132633333,-0.055866667,-0.368666667,-0.143166667,-0.086066667,0.120633333,-0.006066667,0.141933333,-0.247766667,-0.136966667,
450,24.1,-0.045333333,-0.342133333,-0.135633333,-0.087533333,0.112366667,-0.000233333,0.132866667,-0.238733333,-0.117633333,-0.0442667,-0.3488667,-0.1372667,-0.085066667,0.113233333,0.003033333,0.129333333,-0.233366667,-0.110866667,-0.042566667,-0.349166667,-0.137566667,-0.087266667,0.115833333,0.004333333,0.129833333,-0.233466667,-0.113466667,
460,24.1,-0.034933333,-0.327933333,-0.133533333,-0.088733333,0.105966667,0.006266667,0.123666667,-0.228433333,-0.100533333,-0.0340333,-0.3332333,-0.1349333,-0.086433333,0.107466667,0.009466667,0.120466667,-0.223433333,-0.094133333,-0.031666667,-0.333666667,-0.135166667,-0.089366667,0.109733333,0.010633333,0.121033333,-0.223566667,-0.096366667,
470,24.1,-0.028333333,-0.317933333,-0.133633333,-0.088933333,0.100666667,0.008766667,0.117266667,-0.223033333,-0.089533333,-0.0272,-0.324,-0.1352,-0.087,0.1018,0.0115,0.1142,-0.2182,-0.084,-0.025433333,-0.324433333,-0.135133333,-0.089133333,0.104166667,0.012666667,0.114566667,-0.217933333,-0.087333333,
480,24.1,-0.0226,-0.311,-0.1348,-0.0886,0.0954,0.0099,0.1112,-0.2182,-0.0815,-0.0211333,-0.3161333,-0.1359333,-0.087533333,0.096966667,0.012966667,0.108666667,-0.213333333,-0.076133333,-0.0193,-0.3158,-0.136,-0.0893,0.0999,0.0142,0.1086,-0.2134,-0.0787,
490,24.1,-0.018666667,-0.302766667,-0.134566667,-0.089666667,0.092633333,0.010933333,0.108333333,-0.215466667,-0.077466667,-0.0177,-0.3087,-0.1352,-0.0882,0.0938,0.0153,0.1059,-0.21,-0.0721,-0.0154,-0.3092,-0.1353,-0.0903,0.0966,0.0159,0.1057,-0.2101,-0.0766,
500,24.1,-0.015133333,-0.300133333,-0.136833333,-0.089133333,0.089466667,0.011366667,0.104266667,-0.211933333,-0.072933333,-0.0132667,-0.3061667,-0.1376667,-0.087766667,0.090933333,0.014533333,0.101033333,-0.206766667,-0.067266667,-0.011133333,-0.305833333,-0.137533333,-0.089833333,0.093466667,0.015666667,0.100966667,-0.206633333,-0.069933333,
