mm,microN
0.7,338570.6
0.7,255138.6
0.7,26538.7
0.7,350217
0.7,130750.9
0.7,-145132.9
0.7,124778.8
0.7,80916.6
0.7,243436
0.7,110444.4
0.7,-20663.7
0.7,257704.5
0.7,-47763.3
0.7,-91830.3
0.7,50434
0.7,94319.4
0.7,197236.1
0.7,160847.3
0.7,165948
0.7,71303.4
0.7,-9487.1
0.7,55408.5
0.7,-45769.1
0.7,-57045.6
0.7,229824.6
0.7,231667.4
0.7,34136.4
0.7,251476.2
0.7,104927.4
0.7,172704.2
0.7,58018
0.7,143893.6
0.7,131921.3
0.7,135397.4
0.7,184519.4
0.7,93641.1
0.7,156338.6
0.7,226085.4
0.7,338749.2
0.7,318575.6
0.7,-13014.6
0.7,172034.6
0.7,345475.4
0.7,159365.4
0.8,186836.8
0.8,94851.3
0.8,112361
0.8,206905.6
0.8,122688.5
0.8,125563.9
0.8,35134
0.8,194658.6
0.8,123750.1
0.8,-19002.3
0.8,93795.4
0.8,188412.8
0.8,166381.8
0.8,243968.8
0.8,161051.1
0.8,216635.3
0.8,172876.9
0.8,255378.3
0.8,258729.3
0.8,192314.9
0.8,79776.4
0.8,186667.9
0.8,233831.5
0.8,288395.7
0.8,194744.9
0.8,77401.7
0.8,163701.4
0.8,12491.6
0.8,134735.6
0.8,104749.8
0.8,109005.2
0.8,59478.5
0.8,129755.2
0.8,112026.2
0.8,210192.5
0.8,95435.5
0.8,117022
0.8,152327.8
0.8,111131.4
0.8,209032.8
0.8,91769.1
0.8,218085.1
0.8,178746.2
0.8,265220.6
0.8,211280.3
0.8,206214.6
0.8,210198.3
0.8,240545.1
0.8,157603.1
0.8,177692.3
0.8,179425.5
0.8,263121.5
0.8,168642.9
0.8,256068.3
0.8,198970.3
0.8,144525.4
0.8,299573.4
0.8,145098.9
0.8,-4001.1
0.8,190346.9
0.9,344879.5
0.9,250253.4
0.9,49523.7
0.9,-7011.5
0.9,165488
0.9,155330.3
0.9,98388.5
0.9,256528.3
0.9,201560.4
0.9,278475.9
0.9,85687.3
0.9,36388.8
0.9,117903.2
0.9,135803
0.9,187312.3
0.9,65128.5
0.9,105181.6
0.9,161150.1
0.9,58647.8
0.9,143992.6
0.9,251278.2
0.9,175497.1
0.9,120999.9
0.9,105093.3
0.9,269875.8
0.9,191949.1
0.9,183345.1
0.9,69578.9
0.9,103105.9
0.9,178147.4
0.9,191172.7
0.9,228731.9
0.9,108811.1
0.9,231920.7
0.9,268430.8
0.9,360105.8
0.9,267194.4
0.9,234186.7
0.9,126959.4
0.9,426990.8
0.9,197557.3
0.9,181671.1
0.9,78612.8
0.9,343526.7
0.9,257137.7
0.9,189587
0.9,23914.7
0.9,329739.6
0.9,159109.2
0.9,123926.7
0.9,-35968.6
0.9,82996.3
0.9,68382.4
0.9,182418.4
0.9,92585.3
0.9,121773.3
0.9,26337.9
0.9,108045.4
0.9,295282
0.9,140286.5
1,174797.5
1,166692.3
1,441277.7
1,252593.1
1,133018.8
1,171575.6
1,-4288.4
1,229712
1,184249.6
1,29187.1
1,104308.2
1,180930.7
1,4222.4
1,194894.4
1,151148.7
1,21186.7
1,102938.9
1,182067.1
1,223092.6
1,157031.5
1,64398.7
1,208868.8
1,159198.5
1,7812.1
1,155386.6
1,215529
1,158158.2
1,179970.9
1,155821.4
1,122132.4
1,8483.6
1,-292599.7
1,303688
1,172616.9
1,165794.6
1,147021.4
1,128751.8
1,156730.7
1,128222.9
1,107209.9
1,151905.6
1,193574.6
1,98303.1
1,132149.3
1,113866.1
1,292049.5
1,112295
1,162551.4
1,239491.2
1,157674
1,180739.5
1,239813.4
1,-23541
1,139565.5
1,179317.8
1,118245.8
1,124437.2
1,204777.4
1,181641
1,213877.3
1.1,314020.3
1.1,192938.9
1.1,211787.9
1.1,199663.2
1.1,235287.2
1.1,152988.7
1.1,151279.7
1.1,213117.4
1.1,195149.6
1.1,59752.2
1.1,57550.3
1.1,251623.7
1.1,120143
1.1,89386.7
1.1,31390
1.1,172110.3
1.1,195794
1.1,182276.7
1.1,265175.9
1.1,245737.9
1.1,239902.6
1.1,397701.8
1.1,182363
1.1,224595.8
1.1,153311.8
1.1,257460.9
1.1,225270.3
1.1,213983
1.1,239690.1
1.1,239794.9
1.1,319670.3
1.1,34641
1.1,70849.2
1.1,301519.1
1.1,72416.5
1.1,231508.3
1.1,141076.4
1.1,255026
1.1,122471.1
1.1,279565.7
1.1,144068.3
1.1,89198.4
1.1,103195.1
1.1,171321.3
1.1,207483
1.1,225374.1
1.1,197340.9
1.1,175486.5
1.1,200026.1
1.1,272786.2
1.1,-21968
1.1,129988.1
1.1,248971.4
1.1,232712.6
1.1,117614
1.1,202409.5
1.1,315374.1
1.1,320288.4
1.1,354134.6
1.1,-20295.9
1.2,147527
1.2,304588.6
1.2,14890.5
1.2,73217.1
1.2,178952.9
1.2,74547.6
1.2,183283
1.2,37776.5
1.2,-1585.7
1.2,194993.4
1.2,218723.7
1.2,179825.3
1.2,289039.2
1.2,188096.4
1.2,341662.5
1.2,183738.2
1.2,33861.7
1.2,110711.2
1.2,233669.5
1.2,244438.5
1.2,129554.4
1.2,-27127.8
1.2,102017
1.2,359139.2
1.2,162409.7
1.2,82283
1.2,223390.5
1.2,181037.4
