Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
5.139577,43.775000,45.728355,1.000001,56.000000,2390.000000,1003351.250000,30058.000000,59671635.750000,56720.000000,59805.500000,0.000052,1003801.381868,0.029958,0.017039,0.017037,3296.059893,3297.281594,227.299297,1.697535,228.996832,0.069414,56.210357,54.216137,1.996563,0.298255,0.007329,0.747502,0.001754,1280482.227424,31467.200009,0.011049,0.000026,0.011313,0.049439,48571.582195,0.000731,66513009.209751,15747285.086862,0.236755,2506256.276485,10585865.809906,10878505.203784,24634447.855463,5832327.809949,68351718.206226,25315451.187491, 
5.284908,44.487500,46.455011,1.000001,56.000000,2390.000000,1004591.500000,30075.250000,59673718.750000,56718.750000,59811.375000,0.000052,1005041.592440,0.029938,0.017019,0.017017,3291.992591,3293.211799,223.132318,1.697535,224.829853,0.068236,56.075696,54.081412,1.996563,0.298528,0.007602,0.747567,0.001819,1281654.284051,32639.256636,0.011050,0.000027,0.011121,0.049501,47746.644115,0.000732,65302694.195699,15708153.918524,0.240544,2500028.362549,10393238.345314,10689693.406083,24186183.035444,5817834.784638,67165377.753312,24876065.834560, 
5.415678,45.012500,47.108862,1.000001,56.000000,2390.000000,1005633.875000,30014.875000,59675441.375000,56717.750000,59812.500000,0.000052,1006081.698108,0.029847,0.016928,0.016926,3288.589268,3289.810553,219.650696,1.697535,221.348231,0.067248,55.718180,53.723844,1.996563,0.298754,0.007828,0.747621,0.001873,1282623.623854,33608.596439,0.011051,0.000028,0.010960,0.049552,47055.833776,0.000732,64291443.641829,15604296.941772,0.242712,2483499.024418,10232292.948456,10529367.805681,23811645.793270,5779369.237693,66158021.498511,24502970.925374, 
5.543330,45.750000,47.747121,1.000001,56.000000,2390.000000,1006594.750000,29941.750000,59677018.250000,56722.375000,59816.000000,0.000052,1007039.968979,0.029746,0.016827,0.016825,3285.459939,3286.684066,216.450629,1.697535,218.148164,0.066339,55.332825,53.338441,1.996563,0.298961,0.008035,0.747671,0.001922,1283510.994562,34495.967147,0.011051,0.000028,0.010812,0.049599,46419.632500,0.000733,63361972.058916,15492355.108549,0.244506,2465682.942435,10084363.068757,10381424.318229,23467397.058858,5737909.299462,65228464.415500,24158690.524259, 
5.672281,46.387500,48.391876,1.000001,56.000000,2390.000000,1007620.500000,29729.500000,59678655.500000,56719.750000,59819.750000,0.000052,1008058.983984,0.029505,0.016586,0.016584,3282.138772,3283.373178,213.063341,1.697535,214.760876,0.065375,54.486074,52.491641,1.996563,0.299175,0.008250,0.747722,0.001974,1284432.387242,35417.359826,0.011052,0.000029,0.010655,0.049650,45744.911193,0.000734,62378121.145923,15246398.625635,0.244419,2426537.783403,9927778.456729,10220023.028359,23103007.831823,5646814.305791,64214349.399081,23783092.370030, 
5.803311,46.900000,49.047026,1.000001,56.000000,2390.000000,1008544.500000,29700.000000,59680295.750000,56719.625000,59822.375000,0.000052,1008981.713650,0.029448,0.016530,0.016528,3279.137204,3280.372000,209.985617,1.697535,211.683152,0.064497,54.251636,52.257153,1.996563,0.299390,0.008465,0.747773,0.002025,1285355.515774,36340.488358,0.011053,0.000030,0.010512,0.049695,45130.574394,0.000735,61484184.497524,15178290.823854,0.246865,2415698.098673,9785504.133030,10079270.233578,22771920.184268,5621589.194020,63329972.806398,23455545.483851, 
5.935902,47.587500,49.709981,1.000001,56.000000,2390.000000,1009747.625000,29598.375000,59681865.125000,56720.250000,59823.750000,0.000052,1010181.335205,0.029313,0.016394,0.016393,3275.243127,3276.481786,206.022161,1.697535,207.719697,0.063364,53.742577,51.748047,1.996563,0.299596,0.008670,0.747822,0.002074,1286238.800588,37223.773173,0.011054,0.000031,0.010327,0.049754,44338.124422,0.000735,60332983.554694,15030418.934590,0.249124,2392163.575196,9602284.957626,9895772.985369,22345549.464702,5566821.827626,62177024.679220,23028527.658970, 
6.064334,48.312500,50.352139,1.000001,56.000000,2390.000000,1010758.250000,29580.750000,59683530.000000,56720.875000,59828.375000,0.000052,1011191.010993,0.029266,0.016347,0.016346,3271.972792,3273.211045,202.673718,1.697535,204.371253,0.062405,53.535903,51.541322,1.996563,0.299814,0.008889,0.747875,0.002126,1287175.882899,38160.855483,0.011054,0.000031,0.010171,0.049804,43666.961241,0.000736,59360415.189283,14970374.948263,0.252195,2382607.285539,9447496.017395,9743305.315743,21985338.958994,5544583.314172,61219041.298730,22673718.999530, 
6.193805,49.100000,50.999495,1.000001,56.000000,2390.000000,1011855.625000,29448.125000,59685227.375000,56719.750000,59831.625000,0.000052,1012284.050013,0.029103,0.016185,0.016183,3268.439798,3269.683570,199.067019,1.697535,200.764554,0.061370,52.945880,50.951248,1.996563,0.300037,0.009111,0.747928,0.002180,1288131.308461,39116.281045,0.011055,0.000032,0.010002,0.049858,42942.590722,0.000737,58312835.665367,14798985.586445,0.253786,2355329.843021,9280768.689957,9574980.216476,21597346.542729,5481105.772757,60161422.670378,22282008.396436, 
6.323274,49.687500,51.646843,1.000001,56.000000,2390.000000,1012659.125000,29331.625000,59687394.875000,56723.250000,59835.625000,0.000052,1013083.830525,0.028965,0.016047,0.016045,3265.859523,3267.108273,196.390547,1.697535,198.088082,0.060600,52.452885,50.458187,1.996563,0.300321,0.009395,0.747996,0.002247,1289351.434057,40336.406641,0.011056,0.000033,0.009877,0.049898,42403.486943,0.000738,57535444.181275,14655774.218395,0.254726,2332537.063944,9157043.090557,9449453.281381,21309423.770843,5428064.525332,59372713.051344,21989893.722720, 
