Time,Sample Temperature,Program Temperature,Frequency,Raw Dynamic Force,Raw Static Force,In-Phase Angle,Out-Of-Phase Angle,Zero Displacement,Min Displacement,Max Displacement,Spring Stiffness,C*,Measured Tan Delta,Corrected Total Tan Delta,Corrected Total Delta,Stiffness*,Total Stiffness',Stiffness Less Spring,Inertia,Sample Stiffness',Ratio of Sample to Total Stiffness,Total Stiffness'',Sample Stiffness'',Total Applied Static Force,Static Force,Static Force Corrected,Static Displacement,Static Displacement Corrected,Static Stress,Static Stress Corrected,Static Strain,Static Strain Corrected,Dynamic Force,Displacement Amplitude,Dynamic Stress,Dynamic Strain,Storage Modulus,Loss Modulus,Tan Delta,Loss Viscosity,Storage Viscosity,Complex Viscosity,Shear Storage Modulus,Shear Loss Modulus,Complex Modulus,Shear Complex Modulus, 
0.000000,25.400000,25.000000,1.000001,63.000000,2390.000000,1029258.250000,50917.000000,59489456.250000,56485.000000,59660.750000,0.000052,1030516.902376,0.049470,0.036534,0.036518,3611.938001,3611.567279,550.193897,1.697535,551.891432,0.152740,132.019476,130.030848,1.996563,0.274065,0.000000,0.741702,0.000000,378960.999389,0.000000,0.010476,0.000000,0.028006,0.050726,38725.235813,0.000716,54030078.643073,12729998.163527,0.235609,2026040.528319,8599147.279753,8834600.962199,20011140.238175,4714814.134640,55509478.933062,20559066.271504, 
0.130508,25.500000,25.000000,1.000001,63.000000,2390.000000,1028743.875000,50918.125000,59491140.875000,56457.875000,59667.375000,0.000052,1030003.211550,0.049495,0.036560,0.036543,3613.739373,3613.366075,551.914598,1.697535,553.612133,0.153140,132.178544,130.189866,1.996563,0.274285,0.000220,0.741755,0.000053,379264.518453,303.519065,0.010477,0.000001,0.028079,0.050701,38826.645182,0.000716,54198534.946636,12745566.000239,0.235164,2028518.224523,8625957.911922,8861266.054321,20073531.461717,4720580.000088,55677020.780823,20621118.807712, 
0.276618,25.500000,25.000000,1.000001,63.000000,2390.000000,1029733.625000,50641.125000,59493884.875000,56487.250000,59665.000000,0.000052,1030978.109368,0.049179,0.036244,0.036228,3610.322204,3609.988902,548.410208,1.697535,550.107743,0.152313,130.912720,128.923959,1.996563,0.274642,0.000577,0.741841,0.000139,379758.939694,797.940306,0.010478,0.000002,0.027928,0.050749,38616.946511,0.000717,53855455.765198,12621633.920326,0.234361,2008793.837022,8571355.207578,8803600.557393,19946465.098221,4674679.229750,55314697.490774,20486924.996583, 
0.408169,25.500000,25.000000,1.000001,63.000000,2390.000000,1029685.000000,50378.750000,59496087.500000,56490.125000,59665.500000,0.000052,1030916.688039,0.048926,0.035991,0.035976,3610.537304,3610.237003,548.556183,1.697535,550.253718,0.152343,130.010664,128.021836,1.996563,0.274929,0.000864,0.741910,0.000208,380155.845450,1194.846062,0.010479,0.000003,0.027933,0.050747,38624.540540,0.000717,53869746.723923,12533316.302834,0.232660,1994737.662771,8573629.682499,8802619.171355,19951758.045897,4641969.001050,55308531.255553,20484641.205760, 
0.543359,25.500000,25.000000,1.000001,63.000000,2390.000000,1029838.000000,50337.500000,59498673.500000,56492.250000,59668.875000,0.000052,1031067.490589,0.048879,0.035944,0.035929,3610.009232,3609.714816,547.914085,1.697535,549.611621,0.152187,129.821114,127.832208,1.996563,0.275266,0.001201,0.741991,0.000289,380621.869246,1660.869857,0.010480,0.000004,0.027905,0.050754,38585.047434,0.000717,53806885.465669,12514751.749680,0.232586,1991783.024711,8563625.010445,8792205.237427,19928476.098396,4635093.240622,55243098.527072,20460406.861878, 
0.674910,25.500000,25.000000,1.000001,63.000000,2390.000000,1029854.625000,50191.375000,59501345.875000,56496.000000,59671.125000,0.000052,1031076.972276,0.048736,0.035802,0.035786,3609.976035,3609.700066,547.775407,1.697535,549.472942,0.152150,129.305829,127.316843,1.996563,0.275615,0.001549,0.742075,0.000373,381103.498571,2142.499183,0.010481,0.000005,0.027898,0.050755,38575.469184,0.000717,53793308.869277,12464297.592959,0.231707,1983753.002630,8561464.229730,8788284.572793,19923447.729362,4616406.515911,55218464.245135,20451283.053754, 
0.826740,25.500000,25.000000,1.000001,63.000000,2390.000000,1029767.375000,50062.125000,59504036.875000,56499.625000,59675.875000,0.000052,1030983.541563,0.048615,0.035680,0.035665,3610.303181,3610.043023,547.993561,1.697535,549.691096,0.152196,128.880148,126.891080,1.996563,0.275965,0.001900,0.742159,0.000457,381588.525539,2627.526151,0.010482,0.000006,0.027906,0.050751,38587.120147,0.000717,53814666.119479,12422615.487101,0.230841,1977119.094699,8564863.338978,8790101.474385,19931357.822029,4600968.698926,55229880.183568,20455511.179099, 
0.972850,25.500000,25.292220,1.000001,63.000000,2390.000000,1029675.875000,49828.875000,59506390.625000,56483.625000,59678.875000,0.000052,1030880.848760,0.048393,0.035458,0.035443,3610.662827,3610.431363,548.272729,1.697535,549.970265,0.152257,128.092170,126.103032,1.996563,0.276272,0.002207,0.742233,0.000531,382012.800117,3051.800728,0.010483,0.000007,0.027917,0.050746,38602.566553,0.000717,53841996.661594,12345465.688527,0.229291,1964840.332625,8569213.126407,8791587.520948,19941480.245035,4572394.699455,55239217.296896,20458969.369221, 
1.117140,25.500000,25.580800,1.000001,63.000000,2390.000000,1029828.750000,49720.250000,59508351.750000,56500.625000,59681.250000,0.000052,1031028.301060,0.048280,0.035346,0.035331,3610.146449,3609.929116,547.679514,1.697535,549.377049,0.152113,127.667847,125.678650,1.996563,0.276528,0.002463,0.742294,0.000592,382366.326190,3405.326802,0.010484,0.000008,0.027891,0.050754,38566.291041,0.000717,53783920.977386,12303918.713503,0.228766,1958227.931417,8559970.101514,8781101.569290,19919970.732365,4557006.930927,55173332.067315,20434567.432339, 
1.247911,25.500000,25.842342,1.000001,63.000000,2390.000000,1029771.625000,49669.875000,59509850.125000,56499.375000,59679.250000,0.000052,1030968.814338,0.048234,0.035300,0.035285,3610.354754,3610.143418,547.824310,1.697535,549.521845,0.152145,127.508581,125.519339,1.996563,0.276723,0.002658,0.742341,0.000639,382636.448430,3675.449041,0.010485,0.000009,0.027897,0.050751,38574.166823,0.000717,53798096.436864,12288322.222689,0.228416,1955745.674775,8562226.194173,8782747.778719,19925220.902542,4551230.452848,55183675.514402,20438398.338667, 
