SPECIES,SUBJECT,SEX,DX,CERKL,CHRNA10,FA2H,SMYD1,CLIC4,COL4A1,FAM189A1,PTGDR,SDCCAG8,TF
RAT,22,M,CONTROL,1.0000,1.0000,1.0000,1.0000,,,,,,
RAT,1,F,NICOTINE,0.8120,0.5207,1.0090,0.6713,1.3014,0.6333,0.0852,1.6375,1.1188,1.9880
RAT,1,F,NICOTINE,0.5776,0.4043,1.5052,0.7393,1.3012,0.7277,1.9251,1.2441,1.2931,1.2850
RAT,2,F,NICOTINE,0.9693,1.6698,1.0412,0.5589,0.8834,0.8947,0.0367,0.7960,1.0212,1.8324
RAT,2,F,NICOTINE,0.6895,1.2965,1.5532,0.6154,0.8832,1.0281,0.8293,0.6048,1.1803,1.1844
RAT,3,F,NICOTINE,0.3012,0.3646,1.0061,0.9329,0.8869,0.6705,0.1187,0.8063,0.8492,2.3009
RAT,3,F,NICOTINE,0.2142,0.2831,1.5009,1.0273,0.8868,0.7704,2.6834,0.6126,0.9814,1.4872
RAT,4,F,NICOTINE,0.6733,1.0903,0.6951,0.6918,0.7020,0.7253,0.0785,1.4258,0.9066,1.5468
RAT,4,F,NICOTINE,0.4789,0.8466,1.0369,0.7618,0.7019,0.8334,1.7739,1.0832,1.0478,0.9998
RAT,5,M,NICOTINE,1.4312,0.9446,1.1596,0.9750,1.2309,1.1826,0.0351,1.2221,0.9574,2.2826
RAT,5,M,NICOTINE,1.0181,0.7334,1.7298,1.0737,1.2307,1.3588,0.7925,0.9285,1.1065,1.4754
RAT,6,M,NICOTINE,1.1961,1.0767,0.7959,0.9353,0.8019,0.8250,0.0323,0.8475,0.9613,1.7869
RAT,6,M,NICOTINE,0.8508,0.8360,1.1873,1.0300,0.8018,0.9479,0.7305,0.6439,1.1110,1.1550
RAT,7,M,NICOTINE,1.4770,0.7273,0.8000,0.4586,1.1811,0.8378,0.0369,1.4008,0.9754,1.9505
RAT,7,M,NICOTINE,1.0507,0.5647,1.1934,0.5051,1.1809,0.9626,0.8330,1.0642,1.1273,1.2607
RAT,8,M,NICOTINE,1.2008,1.4308,1.0346,0.7102,1.2173,0.8761,0.0501,1.9367,0.8885,1.7516
RAT,8,M,NICOTINE,0.8542,1.1109,1.5434,0.7820,1.2171,1.0067,1.1320,1.4714,1.0269,1.1322
RAT,17,F,NICOTINE,1.0000,1.7383,0.9385,1.0634,,,,,,
RAT,17,F,NICOTINE,0.6069,1.7466,0.9452,1.2084,,,,,,
RAT,18,F,NICOTINE,1.0886,2.1864,0.9798,1.0757,,,,,,
RAT,18,F,NICOTINE,0.6606,2.1968,0.9868,1.2223,,,,,,
RAT,23,M,NICOTINE,0.5625,0.0012,1.3122,0.0008,,,,,,
RAT,23,M,NICOTINE,0.5610,0.0013,1.3813,0.0009,,,,,,
RAT,24,M,NICOTINE,0.8163,0.0010,1.6326,0.0009,,,,,,
RAT,24,M,NICOTINE,0.8141,0.0011,1.7185,0.0011,,,,,,
