group,percent
0.5% ZnO 1 Live Cells,70.557
0.5% ZnO 2 Live Cells,75.71
1% ZnO 1 Live Cells,96.5034
1% ZnO 2 Live Cells,80.3797
Alginate Live Cells,89.8649
Control Live Cells,90.0585
1% TiO2 Live Cells,93.3962
0.5% ZnO 1 Dead Cells,29.4429
0.5% ZnO 2 Dead Cells,24.4897
1% ZnO 1 Dead Cells,3.4965
1% ZnO 2 Dead Cells,19.6203
Alginate Dead Cells,10.1351
Control Dead Cells,9.94152
1% TiO2 Dead Cells,6.60377
